vocabulary size: 111
n tunes: 400
n train tunes: 336
n validation tunes: 64
373/500 (epoch 74.600) train_loss=300.01560765 time/batch=53.90s
374/500 (epoch 74.800) train_loss=571.11927267 time/batch=24.51s
375/500 (epoch 75.000) train_loss=870.41804997 time/batch=50.38s
setting learning rate to 0.0005792
376/500 (epoch 75.200) train_loss=565.49173284 time/batch=24.73s
377/500 (epoch 75.400) train_loss=402.26740447 time/batch=24.99s
378/500 (epoch 75.600) train_loss=248.13659219 time/batch=11.70s
379/500 (epoch 75.800) train_loss=447.78925209 time/batch=53.85s
380/500 (epoch 76.000) train_loss=1072.62204291 time/batch=42.90s
setting learning rate to 0.0005618
381/500 (epoch 76.200) train_loss=884.09356396 time/batch=34.23s
382/500 (epoch 76.400) train_loss=906.76132895 time/batch=42.10s
383/500 (epoch 76.600) train_loss=238.41920754 time/batch=11.92s
384/500 (epoch 76.800) train_loss=297.44329067 time/batch=16.08s
385/500 (epoch 77.000) train_loss=596.01587588 time/batch=50.27s
setting learning rate to 0.0005449
386/500 (epoch 77.200) train_loss=442.53499015 time/batch=20.31s
387/500 (epoch 77.400) train_loss=1010.27531931 time/batch=39.03s
388/500 (epoch 77.600) train_loss=275.70920452 time/batch=54.61s
389/500 (epoch 77.800) train_loss=891.82405601 time/batch=46.44s
390/500 (epoch 78.000) train_loss=279.19607009 time/batch=14.67s
setting learning rate to 0.0005286
391/500 (epoch 78.200) train_loss=732.94587034 time/batch=27.63s
392/500 (epoch 78.400) train_loss=276.85226821 time/batch=14.82s
393/500 (epoch 78.600) train_loss=255.60506283 time/batch=16.41s
394/500 (epoch 78.800) train_loss=614.68174935 time/batch=32.86s
395/500 (epoch 79.000) train_loss=1037.68426790 time/batch=50.21s
setting learning rate to 0.0005127
396/500 (epoch 79.200) train_loss=258.14244223 time/batch=53.55s
397/500 (epoch 79.400) train_loss=711.18505126 time/batch=27.71s
398/500 (epoch 79.600) train_loss=348.00804166 time/batch=18.26s
399/500 (epoch 79.800) train_loss=1129.83618491 time/batch=48.75s
400/500 (epoch 80.000) train_loss=446.51932977 time/batch=28.52s
setting learning rate to 0.0004973
  saved to metadata/config5-processed_songs-20250114-005031.pkl
401/500 (epoch 80.200) train_loss=274.92308458 time/batch=14.99s
402/500 (epoch 80.400) train_loss=867.90599402 time/batch=33.50s
403/500 (epoch 80.600) train_loss=1048.01787715 time/batch=49.18s
404/500 (epoch 80.800) train_loss=403.86959284 time/batch=20.41s
405/500 (epoch 81.000) train_loss=263.99235573 time/batch=50.98s
setting learning rate to 0.0004824
406/500 (epoch 81.200) train_loss=322.56196878 time/batch=17.23s
407/500 (epoch 81.400) train_loss=636.60337310 time/batch=24.41s
408/500 (epoch 81.600) train_loss=233.31912239 time/batch=11.66s
409/500 (epoch 81.800) train_loss=537.97152950 time/batch=29.45s
410/500 (epoch 82.000) train_loss=1124.27656225 time/batch=48.77s
setting learning rate to 0.0004679
411/500 (epoch 82.200) train_loss=225.25239963 time/batch=11.35s
412/500 (epoch 82.400) train_loss=993.38913270 time/batch=39.25s
413/500 (epoch 82.600) train_loss=656.31106859 time/batch=25.92s
414/500 (epoch 82.800) train_loss=463.14780374 time/batch=39.29s
415/500 (epoch 83.000) train_loss=321.66950084 time/batch=53.93s
setting learning rate to 0.0004539
416/500 (epoch 83.200) train_loss=643.88879668 time/batch=25.42s
417/500 (epoch 83.400) train_loss=406.07601830 time/batch=16.44s
418/500 (epoch 83.600) train_loss=1244.02219248 time/batch=49.42s
419/500 (epoch 83.800) train_loss=382.45393316 time/batch=25.79s
420/500 (epoch 84.000) train_loss=424.53141420 time/batch=54.84s
setting learning rate to 0.0004403
421/500 (epoch 84.200) train_loss=1014.11233242 time/batch=39.90s
422/500 (epoch 84.400) train_loss=325.92208693 time/batch=13.56s
423/500 (epoch 84.600) train_loss=916.90857770 time/batch=50.67s
424/500 (epoch 84.800) train_loss=544.07970555 time/batch=22.41s
425/500 (epoch 85.000) train_loss=310.10936395 time/batch=53.83s
setting learning rate to 0.0004271
426/500 (epoch 85.200) train_loss=281.54270824 time/batch=54.60s
427/500 (epoch 85.400) train_loss=345.12774856 time/batch=15.50s
428/500 (epoch 85.600) train_loss=434.20994860 time/batch=20.22s
429/500 (epoch 85.800) train_loss=1445.41418124 time/batch=49.73s
430/500 (epoch 86.000) train_loss=736.90692065 time/batch=28.82s
setting learning rate to 0.0004143
431/500 (epoch 86.200) train_loss=369.72229368 time/batch=15.23s
432/500 (epoch 86.400) train_loss=1149.94444199 time/batch=49.44s
433/500 (epoch 86.600) train_loss=616.59968665 time/batch=24.18s
434/500 (epoch 86.800) train_loss=467.85296987 time/batch=25.49s
435/500 (epoch 87.000) train_loss=550.67108217 time/batch=29.77s
setting learning rate to 0.0004018
436/500 (epoch 87.200) train_loss=613.47217824 time/batch=23.85s
437/500 (epoch 87.400) train_loss=285.96752988 time/batch=53.84s
438/500 (epoch 87.600) train_loss=1147.60051236 time/batch=50.26s
439/500 (epoch 87.800) train_loss=354.30205558 time/batch=15.68s
440/500 (epoch 88.000) train_loss=713.81730892 time/batch=30.01s
setting learning rate to 0.0003898
441/500 (epoch 88.200) train_loss=1132.93995306 time/batch=49.36s
442/500 (epoch 88.400) train_loss=368.77304185 time/batch=15.49s
443/500 (epoch 88.600) train_loss=332.25593673 time/batch=17.57s
444/500 (epoch 88.800) train_loss=440.99423822 time/batch=22.36s
445/500 (epoch 89.000) train_loss=705.10205467 time/batch=54.37s
setting learning rate to 0.0003781
446/500 (epoch 89.200) train_loss=838.83151164 time/batch=33.58s
447/500 (epoch 89.400) train_loss=351.72502513 time/batch=15.28s
448/500 (epoch 89.600) train_loss=502.00081087 time/batch=22.66s
449/500 (epoch 89.800) train_loss=1097.58081238 time/batch=49.22s
450/500 (epoch 90.000) train_loss=262.77470914 time/batch=53.86s
setting learning rate to 0.0003668
  saved to metadata/config5-processed_songs-20250114-005031.pkl
451/500 (epoch 90.200) train_loss=899.13336911 time/batch=34.91s
452/500 (epoch 90.400) train_loss=259.73192562 time/batch=54.52s
453/500 (epoch 90.600) train_loss=887.44792164 time/batch=41.99s
454/500 (epoch 90.800) train_loss=568.48118434 time/batch=47.38s
455/500 (epoch 91.000) train_loss=275.38062465 time/batch=14.84s
setting learning rate to 0.0003557
456/500 (epoch 91.200) train_loss=267.03032217 time/batch=15.13s
457/500 (epoch 91.400) train_loss=391.46459262 time/batch=20.62s
458/500 (epoch 91.600) train_loss=924.25838248 time/batch=35.10s
459/500 (epoch 91.800) train_loss=744.57551954 time/batch=38.12s
460/500 (epoch 92.000) train_loss=581.57357257 time/batch=49.78s
setting learning rate to 0.0003451
461/500 (epoch 92.200) train_loss=279.84843479 time/batch=14.21s
462/500 (epoch 92.400) train_loss=836.71247282 time/batch=32.40s
463/500 (epoch 92.600) train_loss=696.15710542 time/batch=34.43s
464/500 (epoch 92.800) train_loss=853.61376131 time/batch=50.41s
465/500 (epoch 93.000) train_loss=254.15111064 time/batch=15.89s
setting learning rate to 0.0003347
466/500 (epoch 93.200) train_loss=1123.56794397 time/batch=50.40s
467/500 (epoch 93.400) train_loss=323.49480027 time/batch=16.98s
468/500 (epoch 93.600) train_loss=786.21705217 time/batch=29.29s
469/500 (epoch 93.800) train_loss=331.43118549 time/batch=19.84s
470/500 (epoch 94.000) train_loss=277.95789893 time/batch=21.75s
setting learning rate to 0.0003247
471/500 (epoch 94.200) train_loss=868.85792009 time/batch=33.63s
472/500 (epoch 94.400) train_loss=748.43377633 time/batch=35.96s
473/500 (epoch 94.600) train_loss=284.12389478 time/batch=14.90s
474/500 (epoch 94.800) train_loss=774.11881889 time/batch=49.54s
475/500 (epoch 95.000) train_loss=234.76891984 time/batch=15.74s
setting learning rate to 0.0003149
476/500 (epoch 95.200) train_loss=254.72683037 time/batch=55.49s
477/500 (epoch 95.400) train_loss=530.45765115 time/batch=23.58s
478/500 (epoch 95.600) train_loss=410.95113568 time/batch=25.38s
479/500 (epoch 95.800) train_loss=986.73227535 time/batch=38.69s
480/500 (epoch 96.000) train_loss=908.46666053 time/batch=48.89s
setting learning rate to 0.0003055
481/500 (epoch 96.200) train_loss=998.64261493 time/batch=39.73s
482/500 (epoch 96.400) train_loss=377.09823288 time/batch=19.71s
483/500 (epoch 96.600) train_loss=306.89148783 time/batch=21.29s
484/500 (epoch 96.800) train_loss=908.10801981 time/batch=49.78s
485/500 (epoch 97.000) train_loss=256.69816775 time/batch=54.54s
setting learning rate to 0.0002963
486/500 (epoch 97.200) train_loss=581.42252162 time/batch=24.98s
487/500 (epoch 97.400) train_loss=1025.63997960 time/batch=41.19s
488/500 (epoch 97.600) train_loss=770.58305204 time/batch=49.70s
489/500 (epoch 97.800) train_loss=276.10226052 time/batch=15.62s
490/500 (epoch 98.000) train_loss=249.89289314 time/batch=16.09s
setting learning rate to 0.0002874
491/500 (epoch 98.200) train_loss=1122.28849430 time/batch=49.43s
492/500 (epoch 98.400) train_loss=778.86811542 time/batch=30.02s
493/500 (epoch 98.600) train_loss=307.77449417 time/batch=16.21s
494/500 (epoch 98.800) train_loss=456.53615181 time/batch=22.53s
495/500 (epoch 99.000) train_loss=256.87513729 time/batch=53.50s
setting learning rate to 0.0002788
496/500 (epoch 99.200) train_loss=493.69244411 time/batch=22.72s
497/500 (epoch 99.400) train_loss=258.29643970 time/batch=55.11s
498/500 (epoch 99.600) train_loss=897.99299748 time/batch=34.66s
499/500 (epoch 99.800) train_loss=272.04703987 time/batch=14.95s
500/500 (epoch 100.000) train_loss=990.71853749 time/batch=48.72s
setting learning rate to 0.0002705
  saved to metadata/config5-processed_songs-20250114-005031.pkl
