vocabulary size: 123
n tunes: 400
n train tunes: 368
n validation tunes: 32
381/2200 (epoch 34.636) train_loss=530.09826660 time/batch=4.52s
382/2200 (epoch 34.727) train_loss=507.39471436 time/batch=16.77s
383/2200 (epoch 34.818) train_loss=987.26330566 time/batch=8.76s
384/2200 (epoch 34.909) train_loss=1284.88842773 time/batch=13.15s
385/2200 (epoch 35.000) train_loss=984.45544434 time/batch=10.16s
setting learning rate to 0.0019585
386/2200 (epoch 35.091) train_loss=1175.91882324 time/batch=10.23s
387/2200 (epoch 35.182) train_loss=794.31970215 time/batch=7.21s
388/2200 (epoch 35.273) train_loss=444.53491211 time/batch=16.80s
389/2200 (epoch 35.364) train_loss=1103.81457520 time/batch=11.34s
390/2200 (epoch 35.455) train_loss=411.20046997 time/batch=3.42s
391/2200 (epoch 35.545) train_loss=728.26055908 time/batch=26.78s
392/2200 (epoch 35.636) train_loss=905.10479736 time/batch=7.58s
393/2200 (epoch 35.727) train_loss=545.82153320 time/batch=4.69s
394/2200 (epoch 35.818) train_loss=675.53509521 time/batch=5.72s
395/2200 (epoch 35.909) train_loss=1033.00073242 time/batch=19.14s
396/2200 (epoch 36.000) train_loss=558.51623535 time/batch=17.07s
setting learning rate to 0.0018998
397/2200 (epoch 36.091) train_loss=1181.81738281 time/batch=10.86s
398/2200 (epoch 36.182) train_loss=739.97930908 time/batch=27.52s
399/2200 (epoch 36.273) train_loss=883.90887451 time/batch=7.25s
400/2200 (epoch 36.364) train_loss=777.59460449 time/batch=20.14s
401/2200 (epoch 36.455) train_loss=851.14239502 time/batch=8.41s
402/2200 (epoch 36.545) train_loss=514.80938721 time/batch=17.65s
403/2200 (epoch 36.636) train_loss=1177.18151855 time/batch=11.71s
404/2200 (epoch 36.727) train_loss=376.82958984 time/batch=3.41s
405/2200 (epoch 36.818) train_loss=570.20666504 time/batch=5.01s
406/2200 (epoch 36.909) train_loss=841.16290283 time/batch=13.41s
407/2200 (epoch 37.000) train_loss=501.58230591 time/batch=4.55s
setting learning rate to 0.0018428
408/2200 (epoch 37.091) train_loss=444.21066284 time/batch=4.12s
409/2200 (epoch 37.182) train_loss=558.43493652 time/batch=4.87s
410/2200 (epoch 37.273) train_loss=542.90106201 time/batch=18.76s
411/2200 (epoch 37.364) train_loss=825.26959229 time/batch=20.15s
412/2200 (epoch 37.455) train_loss=1321.02551270 time/batch=13.65s
413/2200 (epoch 37.545) train_loss=989.32556152 time/batch=8.79s
414/2200 (epoch 37.636) train_loss=800.10888672 time/batch=7.89s
415/2200 (epoch 37.727) train_loss=696.87402344 time/batch=7.73s
416/2200 (epoch 37.818) train_loss=1070.07458496 time/batch=10.25s
417/2200 (epoch 37.909) train_loss=386.80593872 time/batch=3.46s
418/2200 (epoch 38.000) train_loss=740.25390625 time/batch=27.80s
setting learning rate to 0.0017875
419/2200 (epoch 38.091) train_loss=537.28283691 time/batch=4.84s
420/2200 (epoch 38.182) train_loss=708.64447021 time/batch=26.68s
421/2200 (epoch 38.273) train_loss=785.46905518 time/batch=19.16s
422/2200 (epoch 38.364) train_loss=1056.63403320 time/batch=9.63s
423/2200 (epoch 38.455) train_loss=586.75311279 time/batch=18.65s
424/2200 (epoch 38.545) train_loss=1288.75891113 time/batch=14.50s
425/2200 (epoch 38.636) train_loss=895.46868896 time/batch=8.35s
426/2200 (epoch 38.727) train_loss=740.49670410 time/batch=7.06s
427/2200 (epoch 38.818) train_loss=440.23754883 time/batch=4.19s
428/2200 (epoch 38.909) train_loss=451.49652100 time/batch=5.20s
429/2200 (epoch 39.000) train_loss=908.98443604 time/batch=10.28s
setting learning rate to 0.0017339
430/2200 (epoch 39.091) train_loss=1247.58459473 time/batch=13.51s
431/2200 (epoch 39.182) train_loss=821.95819092 time/batch=19.66s
432/2200 (epoch 39.273) train_loss=368.90142822 time/batch=3.45s
433/2200 (epoch 39.364) train_loss=1104.10583496 time/batch=10.00s
434/2200 (epoch 39.455) train_loss=608.69549561 time/batch=5.56s
435/2200 (epoch 39.545) train_loss=516.60827637 time/batch=17.57s
436/2200 (epoch 39.636) train_loss=615.18371582 time/batch=6.25s
437/2200 (epoch 39.727) train_loss=433.45672607 time/batch=16.01s
438/2200 (epoch 39.818) train_loss=877.47937012 time/batch=7.82s
439/2200 (epoch 39.909) train_loss=848.50115967 time/batch=8.81s
440/2200 (epoch 40.000) train_loss=449.36947632 time/batch=4.52s
setting learning rate to 0.0016818
  saved to metadata/configSample--20250116-172737.pkl
441/2200 (epoch 40.091) train_loss=673.43841553 time/batch=6.22s
442/2200 (epoch 40.182) train_loss=1148.33630371 time/batch=10.98s
443/2200 (epoch 40.273) train_loss=1026.33703613 time/batch=9.91s
444/2200 (epoch 40.364) train_loss=1101.90295410 time/batch=12.86s
445/2200 (epoch 40.455) train_loss=834.52246094 time/batch=7.84s
446/2200 (epoch 40.545) train_loss=564.95428467 time/batch=5.23s
447/2200 (epoch 40.636) train_loss=693.32214355 time/batch=26.56s
448/2200 (epoch 40.727) train_loss=505.01168823 time/batch=4.57s
449/2200 (epoch 40.818) train_loss=551.55792236 time/batch=17.51s
450/2200 (epoch 40.909) train_loss=359.12777710 time/batch=3.38s
451/2200 (epoch 41.000) train_loss=799.83374023 time/batch=19.01s
setting learning rate to 0.0016314
452/2200 (epoch 41.091) train_loss=680.02136230 time/batch=6.26s
453/2200 (epoch 41.182) train_loss=842.38134766 time/batch=7.84s
454/2200 (epoch 41.273) train_loss=744.97290039 time/batch=19.04s
455/2200 (epoch 41.364) train_loss=1245.67492676 time/batch=13.53s
456/2200 (epoch 41.455) train_loss=685.36492920 time/batch=27.19s
457/2200 (epoch 41.545) train_loss=1089.71228027 time/batch=10.07s
458/2200 (epoch 41.636) train_loss=906.83538818 time/batch=9.82s
459/2200 (epoch 41.727) train_loss=514.94342041 time/batch=4.43s
460/2200 (epoch 41.818) train_loss=518.65527344 time/batch=17.84s
461/2200 (epoch 41.909) train_loss=528.20697021 time/batch=6.49s
462/2200 (epoch 42.000) train_loss=487.86798096 time/batch=6.22s
setting learning rate to 0.0015824
463/2200 (epoch 42.091) train_loss=1008.00634766 time/batch=9.65s
464/2200 (epoch 42.182) train_loss=593.65759277 time/batch=5.39s
465/2200 (epoch 42.273) train_loss=1252.37426758 time/batch=13.25s
466/2200 (epoch 42.364) train_loss=766.58581543 time/batch=19.43s
467/2200 (epoch 42.455) train_loss=418.88027954 time/batch=16.11s
468/2200 (epoch 42.545) train_loss=366.73410034 time/batch=3.41s
469/2200 (epoch 42.636) train_loss=745.86535645 time/batch=6.43s
470/2200 (epoch 42.727) train_loss=510.22027588 time/batch=17.13s
471/2200 (epoch 42.818) train_loss=883.86865234 time/batch=9.31s
472/2200 (epoch 42.909) train_loss=931.73388672 time/batch=10.63s
473/2200 (epoch 43.000) train_loss=714.13848877 time/batch=28.59s
setting learning rate to 0.0015350
474/2200 (epoch 43.091) train_loss=1016.80987549 time/batch=9.43s
475/2200 (epoch 43.182) train_loss=886.40545654 time/batch=8.53s
476/2200 (epoch 43.273) train_loss=1154.70483398 time/batch=10.64s
477/2200 (epoch 43.364) train_loss=778.76531982 time/batch=19.04s
478/2200 (epoch 43.455) train_loss=522.70379639 time/batch=18.24s
479/2200 (epoch 43.545) train_loss=411.72631836 time/batch=16.53s
480/2200 (epoch 43.636) train_loss=587.98376465 time/batch=27.23s
481/2200 (epoch 43.727) train_loss=523.45483398 time/batch=4.53s
482/2200 (epoch 43.818) train_loss=1055.18273926 time/batch=13.00s
483/2200 (epoch 43.909) train_loss=598.59863281 time/batch=5.45s
484/2200 (epoch 44.000) train_loss=699.42767334 time/batch=6.58s
setting learning rate to 0.0014889
485/2200 (epoch 44.091) train_loss=891.18695068 time/batch=8.07s
486/2200 (epoch 44.182) train_loss=629.78192139 time/batch=5.93s
487/2200 (epoch 44.273) train_loss=972.91595459 time/batch=9.28s
488/2200 (epoch 44.364) train_loss=516.75762939 time/batch=4.91s
489/2200 (epoch 44.455) train_loss=400.40838623 time/batch=15.67s
490/2200 (epoch 44.545) train_loss=898.01629639 time/batch=10.32s
491/2200 (epoch 44.636) train_loss=902.21643066 time/batch=20.27s
492/2200 (epoch 44.727) train_loss=371.87442017 time/batch=3.59s
493/2200 (epoch 44.818) train_loss=498.65380859 time/batch=17.01s
494/2200 (epoch 44.909) train_loss=842.30816650 time/batch=10.88s
495/2200 (epoch 45.000) train_loss=841.58044434 time/batch=27.30s
setting learning rate to 0.0014443
496/2200 (epoch 45.091) train_loss=652.46252441 time/batch=5.74s
497/2200 (epoch 45.182) train_loss=886.27893066 time/batch=7.73s
498/2200 (epoch 45.273) train_loss=433.68359375 time/batch=3.81s
499/2200 (epoch 45.364) train_loss=512.62127686 time/batch=4.67s
Validating
    loss:	1521.992554

500/2200 (epoch 45.455) train_loss=1243.60180664 time/batch=85.28s
501/2200 (epoch 45.545) train_loss=550.22985840 time/batch=5.87s
502/2200 (epoch 45.636) train_loss=431.50436401 time/batch=17.15s
503/2200 (epoch 45.727) train_loss=435.21926880 time/batch=17.48s
504/2200 (epoch 45.818) train_loss=904.06427002 time/batch=8.68s
505/2200 (epoch 45.909) train_loss=793.24261475 time/batch=19.42s
506/2200 (epoch 46.000) train_loss=933.17901611 time/batch=10.14s
setting learning rate to 0.0014009
507/2200 (epoch 46.091) train_loss=679.62518311 time/batch=6.37s
508/2200 (epoch 46.182) train_loss=1162.69909668 time/batch=11.25s
509/2200 (epoch 46.273) train_loss=362.70651245 time/batch=3.45s
510/2200 (epoch 46.364) train_loss=950.31402588 time/batch=8.91s
511/2200 (epoch 46.455) train_loss=509.04013062 time/batch=16.85s
512/2200 (epoch 46.545) train_loss=605.08288574 time/batch=6.61s
513/2200 (epoch 46.636) train_loss=677.44793701 time/batch=28.52s
514/2200 (epoch 46.727) train_loss=1140.58850098 time/batch=14.20s
515/2200 (epoch 46.818) train_loss=640.42852783 time/batch=19.18s
516/2200 (epoch 46.909) train_loss=460.02972412 time/batch=6.82s
517/2200 (epoch 47.000) train_loss=837.55267334 time/batch=7.09s
setting learning rate to 0.0013589
518/2200 (epoch 47.091) train_loss=868.78430176 time/batch=8.10s
519/2200 (epoch 47.182) train_loss=840.20288086 time/batch=7.92s
520/2200 (epoch 47.273) train_loss=765.46441650 time/batch=19.41s
521/2200 (epoch 47.364) train_loss=591.14147949 time/batch=5.70s
522/2200 (epoch 47.455) train_loss=786.52301025 time/batch=8.42s
523/2200 (epoch 47.545) train_loss=1236.05676270 time/batch=13.55s
524/2200 (epoch 47.636) train_loss=676.65832520 time/batch=26.31s
525/2200 (epoch 47.727) train_loss=363.41461182 time/batch=3.33s
526/2200 (epoch 47.818) train_loss=1038.88574219 time/batch=10.36s
527/2200 (epoch 47.909) train_loss=515.69580078 time/batch=18.12s
528/2200 (epoch 48.000) train_loss=503.88333130 time/batch=4.63s
setting learning rate to 0.0013181
529/2200 (epoch 48.091) train_loss=1137.28051758 time/batch=11.29s
530/2200 (epoch 48.182) train_loss=824.09411621 time/batch=20.35s
531/2200 (epoch 48.273) train_loss=841.21606445 time/batch=7.50s
532/2200 (epoch 48.364) train_loss=551.27026367 time/batch=5.25s
533/2200 (epoch 48.455) train_loss=1027.27929688 time/batch=11.62s
534/2200 (epoch 48.545) train_loss=1059.88281250 time/batch=13.97s
535/2200 (epoch 48.636) train_loss=394.99227905 time/batch=16.41s
536/2200 (epoch 48.727) train_loss=548.18176270 time/batch=5.60s
537/2200 (epoch 48.818) train_loss=706.44036865 time/batch=7.43s
538/2200 (epoch 48.909) train_loss=592.78771973 time/batch=26.58s
539/2200 (epoch 49.000) train_loss=500.72622681 time/batch=16.46s
setting learning rate to 0.0012786
540/2200 (epoch 49.091) train_loss=839.66076660 time/batch=7.87s
541/2200 (epoch 49.182) train_loss=1135.42431641 time/batch=11.23s
542/2200 (epoch 49.273) train_loss=507.75186157 time/batch=4.80s
543/2200 (epoch 49.364) train_loss=396.16629028 time/batch=17.28s
544/2200 (epoch 49.455) train_loss=618.42938232 time/batch=29.13s
545/2200 (epoch 49.545) train_loss=695.97320557 time/batch=6.33s
546/2200 (epoch 49.636) train_loss=879.30523682 time/batch=8.49s
547/2200 (epoch 49.727) train_loss=434.96618652 time/batch=4.12s
548/2200 (epoch 49.818) train_loss=654.44366455 time/batch=6.64s
549/2200 (epoch 49.909) train_loss=634.80926514 time/batch=19.42s
550/2200 (epoch 50.000) train_loss=944.06378174 time/batch=17.77s
setting learning rate to 0.0012402
  saved to metadata/configSample--20250116-172737.pkl
551/2200 (epoch 50.091) train_loss=838.94702148 time/batch=7.72s
552/2200 (epoch 50.182) train_loss=890.11212158 time/batch=8.84s
553/2200 (epoch 50.273) train_loss=432.87738037 time/batch=17.44s
554/2200 (epoch 50.364) train_loss=942.51037598 time/batch=8.94s
555/2200 (epoch 50.455) train_loss=502.34988403 time/batch=16.90s
556/2200 (epoch 50.545) train_loss=657.20025635 time/batch=6.33s
557/2200 (epoch 50.636) train_loss=503.64761353 time/batch=4.76s
558/2200 (epoch 50.727) train_loss=394.31350708 time/batch=4.83s
559/2200 (epoch 50.818) train_loss=832.88256836 time/batch=20.30s
560/2200 (epoch 50.909) train_loss=897.55407715 time/batch=10.90s
561/2200 (epoch 51.000) train_loss=832.52557373 time/batch=29.38s
setting learning rate to 0.0012030
562/2200 (epoch 51.091) train_loss=786.00567627 time/batch=19.23s
563/2200 (epoch 51.182) train_loss=1144.24926758 time/batch=11.69s
564/2200 (epoch 51.273) train_loss=704.52130127 time/batch=6.85s
565/2200 (epoch 51.364) train_loss=663.75598145 time/batch=27.30s
566/2200 (epoch 51.455) train_loss=853.80865479 time/batch=7.59s
567/2200 (epoch 51.545) train_loss=1217.90002441 time/batch=13.46s
568/2200 (epoch 51.636) train_loss=357.82955933 time/batch=3.37s
569/2200 (epoch 51.727) train_loss=513.39770508 time/batch=4.44s
570/2200 (epoch 51.818) train_loss=422.85269165 time/batch=4.01s
571/2200 (epoch 51.909) train_loss=531.32434082 time/batch=5.42s
572/2200 (epoch 52.000) train_loss=855.62652588 time/batch=8.81s
setting learning rate to 0.0011669
573/2200 (epoch 52.091) train_loss=1026.20703125 time/batch=10.06s
574/2200 (epoch 52.182) train_loss=686.67102051 time/batch=6.63s
575/2200 (epoch 52.273) train_loss=743.99682617 time/batch=19.85s
576/2200 (epoch 52.364) train_loss=1238.47558594 time/batch=13.78s
577/2200 (epoch 52.455) train_loss=527.25994873 time/batch=4.52s
578/2200 (epoch 52.545) train_loss=834.91864014 time/batch=7.57s
579/2200 (epoch 52.636) train_loss=377.01757812 time/batch=3.65s
580/2200 (epoch 52.727) train_loss=658.05249023 time/batch=27.28s
581/2200 (epoch 52.818) train_loss=654.45349121 time/batch=7.92s
582/2200 (epoch 52.909) train_loss=507.85781860 time/batch=18.16s
583/2200 (epoch 53.000) train_loss=762.15563965 time/batch=9.58s
setting learning rate to 0.0011319
584/2200 (epoch 53.091) train_loss=509.17251587 time/batch=4.88s
585/2200 (epoch 53.182) train_loss=853.15399170 time/batch=8.19s
586/2200 (epoch 53.273) train_loss=808.78454590 time/batch=19.61s
587/2200 (epoch 53.364) train_loss=564.45642090 time/batch=17.85s
588/2200 (epoch 53.455) train_loss=1100.99597168 time/batch=10.41s
589/2200 (epoch 53.545) train_loss=661.39300537 time/batch=6.32s
590/2200 (epoch 53.636) train_loss=520.84588623 time/batch=6.33s
591/2200 (epoch 53.727) train_loss=1234.57421875 time/batch=14.33s
592/2200 (epoch 53.818) train_loss=395.77630615 time/batch=17.56s
593/2200 (epoch 53.909) train_loss=377.97705078 time/batch=3.70s
594/2200 (epoch 54.000) train_loss=772.14215088 time/batch=8.90s
setting learning rate to 0.0010980
595/2200 (epoch 54.091) train_loss=374.18246460 time/batch=16.51s
596/2200 (epoch 54.182) train_loss=511.73519897 time/batch=4.78s
597/2200 (epoch 54.273) train_loss=509.29348755 time/batch=18.14s
598/2200 (epoch 54.364) train_loss=386.93344116 time/batch=3.77s
599/2200 (epoch 54.455) train_loss=878.60009766 time/batch=8.04s
600/2200 (epoch 54.545) train_loss=1232.62683105 time/batch=13.59s
601/2200 (epoch 54.636) train_loss=1098.95349121 time/batch=9.78s
602/2200 (epoch 54.727) train_loss=672.90167236 time/batch=5.95s
603/2200 (epoch 54.818) train_loss=553.82427979 time/batch=5.48s
604/2200 (epoch 54.909) train_loss=843.14868164 time/batch=8.30s
605/2200 (epoch 55.000) train_loss=641.18865967 time/batch=20.53s
setting learning rate to 0.0010650
606/2200 (epoch 55.091) train_loss=517.66094971 time/batch=18.13s
607/2200 (epoch 55.182) train_loss=895.14910889 time/batch=8.65s
608/2200 (epoch 55.273) train_loss=1177.95495605 time/batch=11.98s
609/2200 (epoch 55.364) train_loss=847.68865967 time/batch=7.66s
610/2200 (epoch 55.455) train_loss=1130.22424316 time/batch=14.76s
611/2200 (epoch 55.545) train_loss=567.13244629 time/batch=5.78s
612/2200 (epoch 55.636) train_loss=393.91732788 time/batch=17.34s
613/2200 (epoch 55.727) train_loss=623.31805420 time/batch=26.38s
614/2200 (epoch 55.818) train_loss=430.27987671 time/batch=4.24s
615/2200 (epoch 55.909) train_loss=611.57836914 time/batch=5.81s
616/2200 (epoch 56.000) train_loss=761.98382568 time/batch=19.24s
setting learning rate to 0.0010331
617/2200 (epoch 56.091) train_loss=530.47735596 time/batch=5.07s
618/2200 (epoch 56.182) train_loss=676.35400391 time/batch=6.56s
619/2200 (epoch 56.273) train_loss=550.14111328 time/batch=17.24s
620/2200 (epoch 56.364) train_loss=573.60968018 time/batch=6.82s
621/2200 (epoch 56.455) train_loss=998.20721436 time/batch=9.94s
622/2200 (epoch 56.545) train_loss=645.60723877 time/batch=29.38s
623/2200 (epoch 56.636) train_loss=645.08825684 time/batch=20.47s
624/2200 (epoch 56.727) train_loss=819.22167969 time/batch=7.81s
625/2200 (epoch 56.818) train_loss=1039.80688477 time/batch=10.33s
626/2200 (epoch 56.909) train_loss=830.50744629 time/batch=10.94s
627/2200 (epoch 57.000) train_loss=556.66894531 time/batch=11.20s
setting learning rate to 0.0010021
628/2200 (epoch 57.091) train_loss=872.62078857 time/batch=8.61s
629/2200 (epoch 57.182) train_loss=405.21621704 time/batch=17.03s
630/2200 (epoch 57.273) train_loss=514.11834717 time/batch=4.97s
631/2200 (epoch 57.364) train_loss=624.78448486 time/batch=26.98s
632/2200 (epoch 57.455) train_loss=1140.26318359 time/batch=10.60s
633/2200 (epoch 57.545) train_loss=519.95446777 time/batch=18.74s
634/2200 (epoch 57.636) train_loss=1153.24987793 time/batch=12.25s
635/2200 (epoch 57.727) train_loss=650.54931641 time/batch=6.16s
636/2200 (epoch 57.818) train_loss=772.49932861 time/batch=20.63s
637/2200 (epoch 57.909) train_loss=792.40252686 time/batch=7.59s
638/2200 (epoch 58.000) train_loss=675.40899658 time/batch=13.20s
setting learning rate to 0.0009720
639/2200 (epoch 58.091) train_loss=1094.74707031 time/batch=10.14s
640/2200 (epoch 58.182) train_loss=493.98861694 time/batch=4.06s
641/2200 (epoch 58.273) train_loss=1213.79162598 time/batch=13.89s
642/2200 (epoch 58.364) train_loss=350.20819092 time/batch=3.00s
643/2200 (epoch 58.455) train_loss=651.05065918 time/batch=27.80s
644/2200 (epoch 58.545) train_loss=575.35034180 time/batch=17.57s
645/2200 (epoch 58.636) train_loss=893.93261719 time/batch=8.52s
646/2200 (epoch 58.727) train_loss=754.09552002 time/batch=19.46s
647/2200 (epoch 58.818) train_loss=799.79187012 time/batch=7.76s
648/2200 (epoch 58.909) train_loss=655.70483398 time/batch=6.14s
649/2200 (epoch 59.000) train_loss=418.61505127 time/batch=3.73s
setting learning rate to 0.0009429
650/2200 (epoch 59.091) train_loss=548.13745117 time/batch=5.66s
651/2200 (epoch 59.182) train_loss=655.53912354 time/batch=5.60s
652/2200 (epoch 59.273) train_loss=997.43457031 time/batch=9.80s
653/2200 (epoch 59.364) train_loss=397.61621094 time/batch=17.16s
654/2200 (epoch 59.455) train_loss=1099.98437500 time/batch=10.60s
655/2200 (epoch 59.545) train_loss=1123.32226562 time/batch=14.82s
656/2200 (epoch 59.636) train_loss=630.63555908 time/batch=27.56s
657/2200 (epoch 59.727) train_loss=469.24310303 time/batch=4.23s
658/2200 (epoch 59.818) train_loss=828.71667480 time/batch=7.40s
659/2200 (epoch 59.909) train_loss=615.74163818 time/batch=6.13s
660/2200 (epoch 60.000) train_loss=667.33203125 time/batch=19.95s
setting learning rate to 0.0009146
  saved to metadata/configSample--20250116-172737.pkl
661/2200 (epoch 60.091) train_loss=648.49011230 time/batch=5.94s
662/2200 (epoch 60.182) train_loss=540.26000977 time/batch=5.97s
663/2200 (epoch 60.273) train_loss=644.43267822 time/batch=26.93s
664/2200 (epoch 60.364) train_loss=899.05841064 time/batch=8.72s
665/2200 (epoch 60.455) train_loss=914.61749268 time/batch=9.61s
666/2200 (epoch 60.545) train_loss=524.23889160 time/batch=18.51s
667/2200 (epoch 60.636) train_loss=932.52282715 time/batch=9.92s
668/2200 (epoch 60.727) train_loss=423.82644653 time/batch=4.39s
669/2200 (epoch 60.818) train_loss=858.49517822 time/batch=20.82s
670/2200 (epoch 60.909) train_loss=434.95233154 time/batch=6.28s
671/2200 (epoch 61.000) train_loss=1032.83325195 time/batch=12.05s
setting learning rate to 0.0008871
672/2200 (epoch 61.091) train_loss=1041.74548340 time/batch=9.57s
673/2200 (epoch 61.182) train_loss=571.01647949 time/batch=5.61s
674/2200 (epoch 61.273) train_loss=1198.84167480 time/batch=11.65s
675/2200 (epoch 61.364) train_loss=645.96069336 time/batch=27.43s
676/2200 (epoch 61.455) train_loss=832.01416016 time/batch=7.24s
677/2200 (epoch 61.545) train_loss=542.36755371 time/batch=17.54s
678/2200 (epoch 61.636) train_loss=988.43841553 time/batch=14.20s
679/2200 (epoch 61.727) train_loss=356.69763184 time/batch=3.51s
680/2200 (epoch 61.818) train_loss=787.33099365 time/batch=20.63s
681/2200 (epoch 61.909) train_loss=416.46557617 time/batch=4.00s
682/2200 (epoch 62.000) train_loss=655.89941406 time/batch=6.43s
setting learning rate to 0.0008605
683/2200 (epoch 62.091) train_loss=985.80731201 time/batch=9.50s
684/2200 (epoch 62.182) train_loss=878.27954102 time/batch=9.73s
685/2200 (epoch 62.273) train_loss=575.94122314 time/batch=5.95s
686/2200 (epoch 62.364) train_loss=774.52478027 time/batch=7.37s
687/2200 (epoch 62.455) train_loss=514.43615723 time/batch=18.47s
688/2200 (epoch 62.545) train_loss=635.88153076 time/batch=29.18s
689/2200 (epoch 62.636) train_loss=752.51501465 time/batch=20.18s
690/2200 (epoch 62.727) train_loss=1212.26135254 time/batch=13.53s
691/2200 (epoch 62.818) train_loss=368.10220337 time/batch=3.52s
692/2200 (epoch 62.909) train_loss=397.17349243 time/batch=4.21s
693/2200 (epoch 63.000) train_loss=843.94946289 time/batch=10.66s
setting learning rate to 0.0008347
694/2200 (epoch 63.091) train_loss=941.14849854 time/batch=9.65s
695/2200 (epoch 63.182) train_loss=377.43478394 time/batch=3.67s
696/2200 (epoch 63.273) train_loss=1205.29199219 time/batch=14.68s
697/2200 (epoch 63.364) train_loss=635.86083984 time/batch=28.10s
698/2200 (epoch 63.455) train_loss=554.36163330 time/batch=5.55s
699/2200 (epoch 63.545) train_loss=653.26776123 time/batch=6.49s
700/2200 (epoch 63.636) train_loss=521.52301025 time/batch=17.61s
701/2200 (epoch 63.727) train_loss=375.46405029 time/batch=4.07s
702/2200 (epoch 63.818) train_loss=865.83459473 time/batch=9.24s
703/2200 (epoch 63.909) train_loss=980.41717529 time/batch=9.96s
704/2200 (epoch 64.000) train_loss=785.08599854 time/batch=20.34s
setting learning rate to 0.0008097
705/2200 (epoch 64.091) train_loss=626.44866943 time/batch=28.27s
706/2200 (epoch 64.182) train_loss=1211.68518066 time/batch=13.27s
707/2200 (epoch 64.273) train_loss=771.61254883 time/batch=20.76s
708/2200 (epoch 64.364) train_loss=662.90740967 time/batch=6.51s
709/2200 (epoch 64.455) train_loss=521.84692383 time/batch=5.15s
710/2200 (epoch 64.545) train_loss=730.98150635 time/batch=7.38s
711/2200 (epoch 64.636) train_loss=982.75915527 time/batch=10.09s
712/2200 (epoch 64.727) train_loss=832.00634766 time/batch=6976.83s
713/2200 (epoch 64.818) train_loss=349.33941650 time/batch=2.83s
714/2200 (epoch 64.909) train_loss=817.79364014 time/batch=8.70s
715/2200 (epoch 65.000) train_loss=475.94433594 time/batch=16.47s
setting learning rate to 0.0007854
716/2200 (epoch 65.091) train_loss=378.54113770 time/batch=15.33s
717/2200 (epoch 65.182) train_loss=350.32965088 time/batch=3.07s
718/2200 (epoch 65.273) train_loss=894.13201904 time/batch=7.91s
719/2200 (epoch 65.364) train_loss=509.76098633 time/batch=16.56s
720/2200 (epoch 65.455) train_loss=661.81982422 time/batch=26.48s
721/2200 (epoch 65.545) train_loss=541.97875977 time/batch=4.78s
722/2200 (epoch 65.636) train_loss=852.30474854 time/batch=9.04s
723/2200 (epoch 65.727) train_loss=1208.95983887 time/batch=27.20s
724/2200 (epoch 65.818) train_loss=646.87139893 time/batch=11.23s
725/2200 (epoch 65.909) train_loss=738.75726318 time/batch=38.53s
726/2200 (epoch 66.000) train_loss=1063.79956055 time/batch=19.36s
setting learning rate to 0.0007618
727/2200 (epoch 66.091) train_loss=382.65087891 time/batch=31.76s
728/2200 (epoch 66.182) train_loss=1042.72509766 time/batch=19.32s
729/2200 (epoch 66.273) train_loss=1194.54357910 time/batch=26.41s
730/2200 (epoch 66.364) train_loss=806.99743652 time/batch=14.71s
731/2200 (epoch 66.455) train_loss=420.32287598 time/batch=7.70s
732/2200 (epoch 66.545) train_loss=467.56518555 time/batch=34.30s
733/2200 (epoch 66.636) train_loss=620.97436523 time/batch=11.35s
734/2200 (epoch 66.727) train_loss=650.19934082 time/batch=54.64s
735/2200 (epoch 66.818) train_loss=754.96148682 time/batch=39.22s
736/2200 (epoch 66.909) train_loss=729.02667236 time/batch=15.06s
737/2200 (epoch 67.000) train_loss=598.98767090 time/batch=15.54s
setting learning rate to 0.0007390
738/2200 (epoch 67.091) train_loss=812.18762207 time/batch=14.77s
739/2200 (epoch 67.182) train_loss=481.70288086 time/batch=34.49s
740/2200 (epoch 67.273) train_loss=661.23620605 time/batch=12.09s
741/2200 (epoch 67.364) train_loss=527.27642822 time/batch=10.11s
742/2200 (epoch 67.455) train_loss=742.28283691 time/batch=39.04s
743/2200 (epoch 67.545) train_loss=807.33502197 time/batch=15.93s
744/2200 (epoch 67.636) train_loss=1195.38244629 time/batch=26.43s
745/2200 (epoch 67.727) train_loss=755.10174561 time/batch=17.07s
746/2200 (epoch 67.818) train_loss=635.75079346 time/batch=54.56s
747/2200 (epoch 67.909) train_loss=346.28549194 time/batch=6.69s
748/2200 (epoch 68.000) train_loss=582.24578857 time/batch=18.08s
setting learning rate to 0.0007168
749/2200 (epoch 68.091) train_loss=1158.31311035 time/batch=22.31s
750/2200 (epoch 68.182) train_loss=964.31280518 time/batch=17.96s
751/2200 (epoch 68.273) train_loss=503.09060669 time/batch=34.46s
752/2200 (epoch 68.364) train_loss=649.07257080 time/batch=11.74s
753/2200 (epoch 68.455) train_loss=444.18228149 time/batch=8.65s
754/2200 (epoch 68.545) train_loss=978.45837402 time/batch=23.44s
755/2200 (epoch 68.636) train_loss=880.56927490 time/batch=26.41s
756/2200 (epoch 68.727) train_loss=776.93945312 time/batch=39.21s
757/2200 (epoch 68.818) train_loss=417.73507690 time/batch=32.23s
758/2200 (epoch 68.909) train_loss=599.83587646 time/batch=12.17s
759/2200 (epoch 69.000) train_loss=556.67382812 time/batch=54.60s
setting learning rate to 0.0006953
760/2200 (epoch 69.091) train_loss=1192.73461914 time/batch=26.61s
